accession,virus,viral_family,host
NC_055595,Mastomys natalensis polyomavirus 3,Polyomaviridae,Mastomys natalensis
NC_055603,Lymphocystis disease virus 4,Iridoviridae,Micropogonias furnieri
NC_055632,Orthohantavirus robinaense,Hantaviridae,Pteropus alecto
NC_055633,Orthohantavirus robinaense,Hantaviridae,Pteropus alecto
NC_055634,Orthohantavirus robinaense,Hantaviridae,Pteropus alecto
NC_055635,Orthohantavirus tatenalense,Hantaviridae,Microtus agrestis
NC_055636,Orthohantavirus tatenalense,Hantaviridae,Microtus agrestis
NC_055637,Orthohantavirus tatenalense,Hantaviridae,Microtus agrestis
NC_055638,Actinovirus bernense,Hantaviridae,Perca fluviatilis
NC_055639,Actinovirus bernense,Hantaviridae,Perca fluviatilis
NC_055640,Actinovirus bernense,Hantaviridae,Perca fluviatilis
NC_055953,Bat alphacoronavirus,Coronaviridae,Yangochiroptera
NC_076629,Bat alphacoronavirus,Coronaviridae,Yangochiroptera
NC_059681,hepatitis D virus 1,Kolmioviridae,Homo sapiens
NC_059682,hepatitis D virus 2,Kolmioviridae,Homo sapiens
NC_063268,Bovine herpesvirus type 1.1,Orthoherpesviridae,Bos taurus
NC_063383,Monkeypox virus,Poxviridae,Euarchontoglires
NC_066642,Horsepox virus,Poxviridae,Laurasiatheria
NC_071143,Flyfo siphovirus Tbat1_6,,Pteropus tonganus
NC_074553,Leviviridae sp.,Fiersviridae,Primates
NC_055057,Leviviridae sp.,Fiersviridae,Primates
NC_055058,Leviviridae sp.,Fiersviridae,Primates
NC_074766,avian paramyxovirus 4,Paramyxoviridae,Anas rubripes
NC_019531,avian paramyxovirus 4,Paramyxoviridae,Anas rubripes
NC_074775,aichivirus A1,Picornaviridae,Catarrhini
NC_074786,Guereza hepacivirus,Flaviviridae,Colobus guereza
NC_031950,Guereza hepacivirus,Flaviviridae,Colobus guereza
NC_074787,Pegivirus platyrrhini,Flaviviridae,Platyrrhini
NC_001837,Pegivirus platyrrhini,Flaviviridae,Platyrrhini
NC_074955,Paslahepevirus balayani,Hepeviridae,Amniota
NC_076565,Paslahepevirus balayani,Hepeviridae,Amniota
NC_076592,Paslahepevirus balayani,Hepeviridae,Amniota
NC_074970,Bovine parvovirus 3,Parvoviridae,Bos taurus
NC_074971,Betapolyomavirus secumuris,Polyomaviridae,Mus
NC_075119,Canine minute virus,Parvoviridae,Canis lupus familiaris
NC_075120,Bocaparvovirus primate1,Parvoviridae,Homo sapiens
NC_075122,hepatitis D virus 4,Kolmioviridae,Homo sapiens
NC_075276,Parvoviridae sp.,Parvoviridae,Grus japonensis
NC_075277,Parvoviridae sp.,Parvoviridae,Grus japonensis
NC_075278,Parvoviridae sp.,Parvoviridae,Grus japonensis
NC_075279,Parvoviridae sp.,Parvoviridae,Grus japonensis
NC_075280,Picornaviridae sp.,Picornaviridae,Grus japonensis
NC_075281,grusopivirus A1,Picornaviridae,Grus japonensis
NC_075282,grusopivirus B1,Picornaviridae,Grus japonensis
NC_075286,Macaque stool associated virus 11,Smacoviridae,Macaca
NC_035469,NY_014 poxvirus,Poxviridae,Homo sapiens
